sector,horizon,stock_count,exact_pct,within_10_pct,within_25_pct,cumulative_25_pct,rest_pct,avg_deviation_pct,spearman_rho,pearson_r,avg_score,avg_return_pct
"Refineries",3Y-2023-to-2025,3,100,0,0,100,0,0,1,0.968,62.9,34.54
"Refineries",1Y-2024-to-2025,3,100,0,0,100,0,0,1,0.784,55,-25.9
"Automobile",5Y-2021-to-2025,6,0,0,33.33,33.33,66.67,33.33,0.143,0.12,71.9,96.42
"Automobile",3Y-2023-to-2025,8,12.5,0,87.5,100,0,15.63,0.81,0.735,62.4,69.54
"Automobile",1Y-2024-to-2025,8,37.5,0,50,87.5,12.5,12.5,0.81,0.724,61.9,2.82
"FMCG",5Y-2021-to-2025,5,0,0,20,20,80,48,-0.6,-0.41,69.8,94.92
"FMCG",3Y-2023-to-2025,5,0,0,80,80,20,24,0.6,0.245,62.1,16.11
"FMCG",1Y-2024-to-2025,4,50,0,50,100,0,12.5,0.8,0.805,58.1,-17.7
"Capital Goods - Electrical Equipment",3Y-2023-to-2025,4,25,0,50,75,25,25,0.4,0.408,57.8,105.67
"Capital Goods - Electrical Equipment",1Y-2024-to-2025,4,25,0,25,50,50,37.5,-0.4,-0.412,56,23.15
"Pharmaceuticals",5Y-2021-to-2025,3,100,0,0,100,0,0,1,0.76,61.7,121.51
"Pharmaceuticals",3Y-2023-to-2025,6,16.67,0,0,16.67,83.33,33.33,0.086,0.124,67,87.96
"Pharmaceuticals",1Y-2024-to-2025,6,16.67,0,16.67,33.33,66.67,33.33,0.029,0.345,62.2,11.58
"IT - Software",5Y-2021-to-2025,6,16.67,0,16.67,33.33,66.67,38.89,-0.314,-0.264,64.5,33.65
"IT - Software",3Y-2023-to-2025,6,16.67,0,33.33,50,50,27.78,0.257,0.428,67.4,22.91
"IT - Software",1Y-2024-to-2025,6,0,0,33.33,33.33,66.67,27.78,0.486,0.333,63.7,-1.06
"Power Generation & Distribution",5Y-2021-to-2025,3,33.33,0,0,33.33,66.67,22.22,0.5,0.446,55.6,125.75
"Power Generation & Distribution",3Y-2023-to-2025,4,25,0,25,50,50,37.5,-0.4,-0.645,53.5,94.3
"Power Generation & Distribution",1Y-2024-to-2025,5,20,0,0,20,80,48,-0.8,-0.48,50.8,-17.11
"Aerospace & Defence",3Y-2023-to-2025,3,33.33,0,0,33.33,66.67,22.22,0.5,-0.237,62.8,138.48
"Aerospace & Defence",1Y-2024-to-2025,3,33.33,0,0,33.33,66.67,22.22,0.5,0.708,62.7,14.71
"Steel",3Y-2023-to-2025,3,33.33,0,0,33.33,66.67,22.22,0.5,0.831,64.7,37.63
"Steel",1Y-2024-to-2025,3,33.33,0,0,33.33,66.67,22.22,0.5,0.237,55.6,1
